Hospital Name|CITY|State|Country
Saint Francis Medical Center| Santa Barbara|California|USA
Santa Barbara Cottage Hospital| Santa Barbara|California|USA
Santa Ynez Valley Cottage Hospital| Solvang|California|USA
Community Hospital of Los Gatos| Los Gatos|California|USA
El Camino Hospital| Mountain View|California|USA
Good Samaritan Hospital| San Jose|California|USA
Kaiser Permanente Santa Clara Medical Center| Santa Clara|California|USA
Kaiser Permanente Santa Teresa Medical Center| San Jose|California|USA
Lucile Salter Packard Children's Hospital at Stanford| Palo Alto|California|USA
O'Connor Hospital| San Jose|California|USA
Regional Medical Center of San Jose| San Jose|California|USA
Saint Louise Regional Hospital| Gilroy|California|USA
San Jose Medical Center| San Jose|California|USA
Santa Clara Valley Medical Center| San Jose|California|USA
Stanford University Medical Center| Stanford|California|USA
VA Palo Alto Hospital| Palo Alto|California|USA
Dominican Hospital| Santa Cruz|California|USA
Sutter Maternity and Surgery Hospital| Santa Cruz|California|USA
Watsonville Community Hospital| Watsonville|California|USA
Mayers Memorial Hospital District| Fall River Mills|California|USA
Mercy Medical Center| Redding|California|USA
Shasta Regional Medical Center| Redding|California|USA
Fairchild Medical Center| Yreka|California|USA
California Specialty Hospital| Vallejo|California|USA
David Grant USAF Medical Center| Travis Air Force Base|California|USA
Kaiser Permanente Medical Center| Vallejo|California|USA
NorthBay Medical Center| Fairfield|California|USA
Sutter Solano Medical Center| Vallejo|California|USA
Vaca Valley Hospital| Vacaville|California|USA
Kaiser Permanente Medical Center| Vacaville|California|USA
Healdsburg District Hospital| Healdsburg|California|USA
Kaiser Permanente Medical Center| Santa Rosa|California|USA
Sonoma West Medical Center| Sebastopol|California|USA
Petaluma Valley Hospital| Petaluma|California|USA
Santa Rosa Memorial Hospital| Santa Rosa|California|USA
Sonoma Developmental Center| Eldridge|California|USA
Sonoma Valley Hospital| Sonoma|California|USA
Sutter Medical Center of Santa Rosa| Santa Rosa|California|USA
Doctors Medical Center of Modesto| Modesto|California|USA
Emanuel Medical Center| Turlock|California|USA
Kaiser Medical Center| Modesto|California|USA
Memorial Medical Center| Modesto|California|USA
Oak Valley Hospital| Oakdale|California|USA
Fremont Memorial Hospital| Yuba City|California|USA
St. Elizabeth Community Hospital| Red Bluff|California|USA
Mountain Community Medical Services| Weaverville|California|USA
Kaweah Delta Medical Center| Visalia|California|USA
Porterville Developmental Center| Porterville|California|USA
Sierra View District Hospital| Porterville|California|USA
Tulare Regional Medical Center| Tulare|California|USA
San Luis Valley Regional Medical Center|Alamosa|Colorado|USA
Aspen Valley Hospital|Aspen|Colorado|USA
Children's Hospital Colorado|Aurora|Colorado|USA
The Medical Center of Aurora|Aurora|Colorado|USA
Spalding Rehabilitation Hospital|Aurora|Colorado|USA
Kindred Hospital Aurora|Aurora|Colorado|USA
University of Colorado Hospital|Aurora|Colorado|USA
Foothills Hospital|Boulder|Colorado|USA
Boulder Community Hospital|Boulder|Colorado|USA
Platte Valley Medical Center|Brighton|Colorado|USA
UCHealth Broomfield Hospital|Broomfield|Colorado|USA
East Morgan County Hospital|Brush|Colorado|USA
Kit Carson County Memorial Hospital|Burlington|Colorado|USA
St. Thomas More Hospital|Cañon City|Colorado|USA
Castle Rock Adventist Hospital|Castle Rock|Colorado|USA
Centennial Medical Plaza|Centennial|Colorado|USA
Keefe Memorial Hospital|Cheyenne Wells|Colorado|USA
Cedar Springs Behavioral Hospital|Colorado Springs|Colorado|USA
HealthSouth Rehabilitation Hospital of Colorado Springs|Colorado Springs|Colorado|USA
Memorial Hospital Central|Colorado Springs|Colorado|USA
Memorial Hospital North|Colorado Springs|Colorado|USA
Peak View Behavioral Health|Colorado Springs|Colorado|USA
Penrose Hospital|Colorado Springs|Colorado|USA
St. Francis Medical Center|Colorado Springs|Colorado|USA
Select Long Term Care Hospital - Colorado Springs|Colorado Springs|Colorado|USA
Southwest Memorial Hospital|Cortez|Colorado|USA
The Memorial Hospital|Craig|Colorado|USA
Rio Grande Hospital|Del Norte|Colorado|USA
Delta County Memorial Hospital|Delta|Colorado|USA
Colorado Acute Long Term Hospital|Denver|Colorado|USA
Colorado Mental Health Institute at Fort Logan|Denver|Colorado|USA
Denver Health Medical Center|Denver|Colorado|USA
Eating Recovery Center a Behavioral Hospital|Denver|Colorado|USA
Eating Recovery Center a Behavioral Hospital for Children and Adolescents|Denver|Colorado|USA
Eating Recovery Center Behavioral Health|Denver|Colorado|USA
Saint Joseph Hospital|Denver|Colorado|USA
Kindred Hospital - Denver|Denver|Colorado|USA
National Jewish Health|Denver|Colorado|USA
Porter Adventist Hospital|Denver|Colorado|USA
Presbyterian/St. Luke's Medical Center|Denver|Colorado|USA
Rose Medical Center|Denver|Colorado|USA
Select Specialty Hospital|Denver|Colorado|USA
Select Specialty Hospital - Denver South Campus|Denver|Colorado|USA
Animas Surgical Hospital|Durango|Colorado|USA
Mercy Regional Medical Center|Durango|Colorado|USA
Weisbrod Memorial County Hospital|Eads|Colorado|USA
Craig Hospital|Englewood|Colorado|USA
Swedish Medical Center|Englewood|Colorado|USA
Estes Park Medical Center|Estes Park|Colorado|USA
Evans U. S. Army Community Hospital|Fort Carson|Colorado|USA
Poudre Valley Hospital|Fort Collins|Colorado|USA
Colorado Plains Medical Center|Fort Morgan|Colorado|USA
St. Anthony Summit Medical Center|Frisco|Colorado|USA
Colorado Canyons Hospital and Medical Center|Fruita|Colorado|USA
Valley View Hospital|Glenwood Springs|Colorado|USA
Middle Park Medical Center - Granby|Granby|Colorado|USA
West Springs Hospital|Grand Junction|Colorado|USA
Community Hospital|Grand Junction|Colorado|USA
St. Mary's Hospital|Grand Junction|Colorado|USA
North Colorado Medical Center|Greeley|Colorado|USA
Gunnison Valley Hospital|Gunnison|Colorado|USA
Haxtun Hospital District|Haxtun|Colorado|USA
Children's Hospital Colorado South Campus|Highlands Ranch|Colorado|USA
Highlands Behavioral Health System|Highlands Ranch|Colorado|USA
Melissa Memorial Hospital|Holyoke|Colorado|USA
Lincoln Community Hospital|Hugo|Colorado|USA
Northern Colorado Long Term Acute Hospital|Johnstown|Colorado|USA
Northern Colorado Rehabilitation Hospital|Johnstown|Colorado|USA
Sedgwick County Memorial Hospital|Julesburg|Colorado|USA
Middle Park Medical Center|Kremmling|Colorado|USA
Conejos County Hospital|La Jara|Colorado|USA
Arkansas Valley Regional Medical Center|La Junta|Colorado|USA
Exempla Good Samaritan Medical Center|Lafayette|Colorado|USA
OrthoColorado Hospital at St. Anthony Medical Campus|Lakewood|Colorado|USA
St. Anthony Hospital|Lakewood|Colorado|USA
Prowers Medical Center|Lamar|Colorado|USA
St. Vincent General Hospital District|Leadville|Colorado|USA
Littleton Adventist Hospital|Littleton|Colorado|USA
HealthSouth Rehabilitation Hospital of Littleton|Littleton|Colorado|USA
Sky Ridge Medical Center|Lone Tree|Colorado|USA
Longmont United Hospital|Longmont|Colorado|USA
Avista Adventist Hospital|Louisville|Colorado|USA
Centennial Peaks Hospital|Louisville|Colorado|USA
Medical Center of the Rockies|Loveland|Colorado|USA
McKee Medical Center|Loveland|Colorado|USA
Pioneers Medical Center|Meeker|Colorado|USA
Montrose Memorial Hospital|Montrose|Colorado|USA
Pagosa Springs Medical Center|Pagosa Springs|Colorado|USA
Parker Adventist Hospital|Parker|Colorado|USA
Colorado Mental Health Institute at Pueblo|Pueblo|Colorado|USA
Haven Behavior Hospital of Southern Colorado|Pueblo|Colorado|USA
Parkview Medical Center|Pueblo|Colorado|USA
St. Mary-Corwin Medical Center|Pueblo|Colorado|USA
Rangely District Hospital|Rangely|Colorado|USA
Grand River Medical Center|Rifle|Colorado|USA
Heart of the Rockies Regional Medical Center|Salida|Colorado|USA
Southeast Colorado Hospital|Springfield|Colorado|USA
Yampa Valley Medical Center|Steamboat Springs|Colorado|USA
Sterling Regional MedCenter|Sterling|Colorado|USA
North Suburban Medical Center|Thornton|Colorado|USA
Vibra Long Term Acute Care Hospital|Thornton|Colorado|USA
Mt. San Rafael Hospital|Trinidad|Colorado|USA
Vail Valley Medical Center|Vail|Colorado|USA
Spanish Peaks Regional Health Center|Walsenberg|Colorado|USA
St. Anthony North Health Campus|Westminster|Colorado|USA
Exempla Lutheran Medical Center|Wheat Ridge|Colorado|USA
Pikes Peak Regional Hospital|Woodland|Colorado|USA
Wray Community District Hospital|Wray|Colorado|USA
Yuma District Hospital|Yuma|Colorado|USA
Backus Hospital|Norwich|Connecticut|USA
Bridgeport Hospital|Bridgeport|Connecticut|USA
Bristol Hospital|Bristol|Connecticut|USA
Charlotte Hungerford Hospital|Torrington|Connecticut|USA
Connecticut Children's Medical Center|Hartford|Connecticut|USA
Connecticut Hospice|Branford|Connecticut|USA
Connecticut Valley Hospital (psychiatric)|Middletown|Connecticut|USA
Danbury Hospital|Danbury|Connecticut|USA
Day Kimball Hospital|Putnam|Connecticut|USA
Gaylord Hospital|Wallingford|Connecticut|USA
Greenwich Hospital|Greenwich|Connecticut|USA
Griffin Hospital|Derby|Connecticut|USA
Hartford Hospital|Hartford|Connecticut|USA
Hospital for Special Care|New Britain|Connecticut|USA
The Institute of Living (part of Hartford Hospital)|Hartford|Connecticut|USA
Johnson Memorial Hospital|Stafford Springs|Connecticut|USA
Lawrence+Memorial Hospital|New London|Connecticut|USA
Manchester Memorial Hospital|Manchester|Connecticut|USA
Middlesex Hospital|Middletown|Connecticut|USA
MidState Medical Center|Meriden|Connecticut|USA
Milford Hospital|Milford|Connecticut|USA
Mt. Sinai Hospital (now owned by St. Francis Hospital)|Hartford|Connecticut|USA
New Milford Hospital|New Milford|Connecticut|USA
Norwalk Hospital|Norwalk|Connecticut|USA
Rehabilitation Hospital of Connecticut|Hartford|Connecticut|USA
Rockville General Hospital|Vernon|Connecticut|USA
Saint Francis Hospital & Medical Center|Hartford|Connecticut|USA
Saint Mary's Hospital|Waterbury|Connecticut|USA
Sharon Hospital|Sharon|Connecticut|USA
Silver Hill Hospital|New Canaan|Connecticut|USA
St. Vincent's Medical Center|Bridgeport|Connecticut|USA
Stamford Hospital|Stamford|Connecticut|USA
The Hospital of Central Connecticut - New Britain General Campus|New Britain|Connecticut|USA
The Hospital of Central Connecticut - Bradley Memorial Campus|Southington|Connecticut|USA
University of Connecticut Health Center/John Dempsey Hospital|Farmington|Connecticut|USA
Newington Campus|Newington|Connecticut|USA
West Haven Campus|West Haven|Connecticut|USA
Waterbury Hospital|Waterbury|Connecticut|USA
Windham Hospital|Willimantic|Connecticut|USA
Yale-New Haven Hospital|New Haven|Connecticut|USA
Yale-New Haven Children's Hospital (a division of Yale-New Haven Hospital)|New Haven|Connecticut|USA
Yale-New Haven Psychiatric Hospital (a division of Yale-New Haven Hospital)|New Haven|Connecticut|USA
Bayhealth Emergency Center - Smyrna||Delaware|USA
Kent General Hospital - Dover||Delaware|USA
Milford Memorial Hospital - Milford||Delaware|USA
Beebe Medical Center - Lewes||Delaware|USA
Millville Emergency Room - Millville; operated as a summer emergency room due to the influx of tourists||Delaware|USA
St. Francis Hospital - Wilmington||Delaware|USA
Christiana Hospital - Newark||Delaware|USA
Middletown Emergency Department - Middletown||Delaware|USA
Wilmington Hospital - Wilmington||Delaware|USA
Nanticoke Memorial Hospital - Seaford||Delaware|USA
Alfred I. duPont Hospital for Children - Wilmington||Delaware|USA
Delaware Hospital for the Chronically Ill - Smyrna||Delaware|USA
Delaware Psychiatric Center - Wilmington||Delaware|USA
Wilmington VA Medical Center - Elsmere||Delaware|USA
A.G. Holley State Hospital (Closed)|Lantana|Florida|USA
All Children's Hospital|St. Petersburg|Florida|USA
Arnold Palmer Hospital for Children|Orlando|Florida|USA
Aventura Hospital Medical Center|Aventura|Florida|USA
Baptist Children's Hospital|Miami|Florida|USA
Baptist Hospital|Pensacola|Florida|USA
Baptist Hospital of Miami|Miami|Florida|USA
Baptist Medical Center|Jacksonville|Florida|USA
Baptist Medical Center Beaches|Jacksonville Beach|Florida|USA
Baptist Medical Center Nassau|Fernandina Beach|Florida|USA
Bartow Regional Medical Center|Bartow|Florida|USA
Bay Medical Center|Panama City|Florida|USA
Bayfront Medical Center|St. Petersburg|Florida|USA
Beraja Medical Institute|Coral Gables|Florida|USA
Bethesda Memorial Hospital|Boynton Beach|Florida|USA
Blake Medical Center|Bradenton|Florida|USA
Boca Raton Regional Hospital|Boca Raton|Florida|USA
Bon Secours St. Petersburg, Florida|St. Petersburg|Florida|USA
Bonita Community Health Center|Bonita Springs|Florida|USA
Brandon Regional Hospital|Brandon|Florida|USA
Brooks Rehabilitation|Jacksonville|Florida|USA
Brooksville Regional Medical Center|Brooksville|Florida|USA
Broward Health Medical Center|Fort Lauderdale|Florida|USA
Broward Health Weston|Weston|Florida|USA
Campbellton-Graceville Hospital|Graceville|Florida|USA
Cape Canaveral Hospital|Cocoa Beach|Florida|USA
Cape Coral Hospital|Cape Coral|Florida|USA
Capital Regional Medical Center|Tallahassee|Florida|USA
Cedars Medical Center|Miami|Florida|USA
Central Florida Regional Hospital|Sanford|Florida|USA
Charlotte Regional Medical Center|Punta Gorda|Florida|USA
Chris Evert Children's Hospital|Fort Lauderdale|Florida|USA
Citrus Memorial Hospital|Inverness|Florida|USA
Cleveland Clinic Hospital|Weston|Florida|USA
West Palm Beach Hospital|West Palm Beach|Florida|USA
Columbia Miami Heart Institute|Miami|Florida|USA
Community Hospital|New Port Richey|Florida|USA
Coral Gables Hospital|Coral Gables|Florida|USA
Broward Health Coral Springs|Coral Springs|Florida|USA
Delray Medical Center|Delray Beach|Florida|USA
DeSoto Memorial Hospital|Marianna|Florida|USA
Doctors Hospital (Coral Gables, Florida)|Coral Gables|Florida|USA
Doctors Hospital (Sarasota, Florida)|Sarasota|Florida|USA
Dr. P. Phillips Hospital|Orlando|Florida|USA
Ed Fraser Memorial Hospital|Macclenny|Florida|USA
Edward White Hospital|St. Petersburg|Florida|USA
Englewood Community Hospital|Englewood|Florida|USA
Fawcett Memorial Hospital|Port Charlotte|Florida|USA
Fishermen's Hospital|Marathon|Florida|USA
Flagler Hospital|St. Augustine|Florida|USA
Florida A&M Hospital (closed)|Tallahassee|Florida|USA
Florida Hospital Altamonte|Altamonte Springs|Florida|USA
Florida Hospital Apopka|Apopka|Florida|USA
Florida Hospital at Connerton Long Term Acute Care|Land O' Lakes|Florida|USA
Florida Hospital Carrollwood|Carrollwood|Florida|USA
Florida Hospital Celebration Health [2]|Celebration|Florida|USA
Florida Hospital DeLand|DeLand|Florida|USA
Florida Hospital East Orlando|Orlando|Florida|USA
Florida Hospital Fish Memorial|Orange City|Florida|USA
Florida Hospital Flagler|Palm Coast|Florida|USA
Florida Hospital for Children [3]|Orlando|Florida|USA
Florida Hospital Heartland Medical Center|Sebring|Florida|USA
Florida Hospital Kissimmee|Kissimmee|Florida|USA
Florida Hospital Lake Placid|Lake Placid|Florida|USA
Florida Hospital Memorial Medical Center|Daytona Beach|Florida|USA
Florida Hospital New Smyrna|New Smyrna Beach|Florida|USA
Florida Hospital North Pinellas|Tarpon Springs|Florida|USA
Florida Hospital Oceanside|Ormond Beach|Florida|USA
Florida Hospital Orlando|Orlando|Florida|USA
Florida Hospital Pepin Heart Institute|Tampa|Florida|USA
Florida Hospital Tampa|Tampa|Florida|USA
Florida Hospital Waterman|Eustis|Florida|USA
Florida Hospital Wauchula|Wauchula|Florida|USA
Florida Hospital Wesley Chapel|Wesley Chapel|Florida|USA
Florida Hospital Zephyrhills|Zephyrhills|Florida|USA
Florida Medical Center|Fort Lauderdale|Florida|USA
Florida State Hospital|Chattahoochee|Florida|USA
Fort Walton Beach Medical Center|Fort Walton Beach|Florida|USA
Gadsden Community Hospital|Quincy|Florida|USA
Glades General Hospital|Belle Glade|Florida|USA
Good Samaritan Medical Center (West Palm Beach)|West Palm Beach|Florida|USA
Golisano Children's Hospital of Southwest Florida|Fort Myers|Florida|USA
Gulf Breeze Hospital|Gulf Breeze|Florida|USA
Gulf Coast Medical Center|Fort Myers|Florida|USA
Gulf Coast Regional Medical Center|Panama City|Florida|USA
H. Lee Moffitt Cancer Center & Research Institute|Tampa|Florida|USA
Halifax Health Medical Center|Daytona Beach|Florida|USA
Halifax Health Medical Center of Port Orange|Port Orange|Florida|USA
Health Central|Ocoee|Florida|USA
Healthmark Regional Medical Center|DeFuniak Springs|Florida|USA
HealthPark Medical Center|Fort Myers|Florida|USA
HealthSouth Emerald Coast Rehabilitation Hospital|Panama City|Florida|USA
HealthSouth Rehabilitation Hospital|Largo|Florida|USA
HealthSouth Rehabilitation Hospital of Miami|Miami|Florida|USA
HealthSouth Rehabilitation Hospital of Sarasota|Sarasota|Florida|USA
HealthSouth Rehabilitation Hospital of Spring Hill|Brooksville|Florida|USA
HealthSouth Rehabilitation Hospital of Tallahassee|Tallahassee|Florida|USA
HealthSouth RidgeLake Hospital|Sarasota|Florida|USA
HealthSouth Sea Pines Rehabilitation Hospital|Melbourne|Florida|USA
HealthSouth Sunrise Rehabilitation Hospital|Sunrise|Florida|USA
HealthSouth Treasure Coast Rehabilitation Hospital|Vero Beach|Florida|USA
Heart Institute at Regional Medical Center Bayonet Point|Hudson|Florida|USA
Heart of Florida Regional Medical Center|Haines City|Florida|USA
Heart of Tampa|Hudson|Florida|USA
Hendry Regional Medical Center|Clewiston|Florida|USA
Heritage Hospital|Lecanto|Florida|USA
Hialeah Hospital|Hialeah|Florida|USA
Hollywood Medical Center|Hollywood|Florida|USA
Holmes Regional Medical Center|Melbourne|Florida|USA
Holy Cross Hospital|Fort Lauderdale|Florida|USA
Homestead Hospital|Homestead|Florida|USA
Broward Health Imperial Point|Fort Lauderdale|Florida|USA
Indian River Medical Center|Vero Beach|Florida|USA
Jackson Hospital|Marianna|Florida|USA
Jackson Memorial Hospital|Miami|Florida|USA
Jackson South Community Hospital|Miami|Florida|USA
JFK Medical Center|Atlantis|Florida|USA
Joe DiMaggio Children's Hospital|Hollywood|Florida|USA
Johnston's Hospital (closed)|Tallahassee|Florida|USA
Jupiter Medical Center|Jupiter|Florida|USA
Kendall Medical Center|Miami|Florida|USA
Kindred Hospital North Florida|Green Cove Springs|Florida|USA
Lake City Medical Center|Lake City|Florida|USA
Lake City Veterans Administration Medical Center|Lake City|Florida|USA
Lake Wales Medical Center|Lake Wales|Florida|USA
Lakeland Regional Medical Center|Lakeland|Florida|USA
Largo Medical Center|Largo|Florida|USA
Larkin Community Hospital|South Miami|Florida|USA
Lawnwood Regional Medical Center|Fort Pierce|Florida|USA
Lee Memorial Hospital|Fort Myers|Florida|USA
Leesburg Regional Medical Center|Leesburg|Florida|USA
Lower Keys Medical Center|Key West|Florida|USA
M. D. Anderson Cancer Center Orlando|Orlando|Florida|USA
Manatee Memorial Hospital|Bradenton|Florida|USA
Martin Memorial Health Systems|Stuart|Florida|USA
Mayo Clinic Hospital|Jacksonville|Florida|USA
Mease Countryside Hospital|Clearwater|Florida|USA
Mease Dunedin Hospital|Dunedin|Florida|USA
Medical Center Clinic|Pensacola|Florida|USA
Memorial Hospital Flagler|Palm Coast|Florida|USA
Memorial Hospital Jacksonville|Jacksonville|Florida|USA
Memorial Hospital Miramar|Miramar|Florida|USA
Memorial Hospital of Tampa|Tampa|Florida|USA
Memorial Hospital Pembroke|Pembroke Pines|Florida|USA
Memorial Hospital West|Pembroke Pines|Florida|USA
Memorial Regional Hospital|Hollywood|Florida|USA
Mercy Hospital (Miami)|Miami|Florida|USA
Miami Children's Hospital|Miami|Florida|USA
Morton Plant Hospital|Clearwater|Florida|USA
Morton Plant North Bay Hospital|New Port Richey|Florida|USA
Mount Sinai Medical Center & Miami Heart Institute|Miami Beach|Florida|USA
Munroe Regional Medical Center|Ocala|Florida|USA
Naval Hospital Jacksonville|Jacksonville|Florida|USA
Naval Hospital Pensacola|Pensacola|Florida|USA
NCH Healthcare System - Downtown Naples|Naples|Florida|USA
NCH Healthcare System - North Naples|Naples|Florida|USA
Nemours Children's Clinic Hospital|Orlando|Florida|USA
Nemours Children's Clinic Hospital|Pensacola|Florida|USA
Nemours Children's Hospital|Jacksonville|Florida|USA
Nicklaus Children's Hospital at St. Mary's Medical Center|West Palm Beach|Florida|USA
Broward Health North|Deerfield Beach|Florida|USA
North Florida Regional Medical Center|Gainesville|Florida|USA
North Okaloosa Medical Center|Crestview|Florida|USA
North Ridge Medical Center|Fort Lauderdale|Florida|USA
North Shore Medical Center|Miami|Florida|USA
Northeast Florida State Hospital|Macclenny|Florida|USA
Northside Hospital and Heart Institute|St. Petersburg|Florida|USA
Northwest Florida Community Hospital|Chipley|Florida|USA
Northwest Medical Center|Margate|Florida|USA
Oak Hill Hospital|Brooksville|Florida|USA
Ocala Regional Medical Center|Ocala|Florida|USA
Orange Park Medical Center|Orange Park|Florida|USA
Orlando Regional Medical Center|Orlando|Florida|USA
Osceola Regional Medical Center|Kissimmee|Florida|USA
Palm Bay Community Hospital|Palm Bay|Florida|USA
Palm Beach Gardens Medical Center|Palm Beach Gardens|Florida|USA
Palm Springs General Hospital, Inc[4]|Hialeah|Florida|USA
Palmetto General Hospital|Hialeah|Florida|USA
Palms of Pasadena Hospital|St. Petersburg|Florida|USA
Palms West Hospital|Loxahatchee|Florida|USA
Pan American Hospital|Miami|Florida|USA
Parkway Regional Medical Center|North Miami Beach|Florida|USA
Parrish Medical Center|Titusville|Florida|USA
Pasco Regional Medical Center|Dade City|Florida|USA
Peace River Regional Medical Center|Port Charlotte|Florida|USA
Physicians Regional Medical Center - Collier Boulevard|Naples|Florida|USA
Physicians Regional Medical Center - Pine Ridge|Naples|Florida|USA
Pinecrest Rehabilitation Hospital|Delray Beach|Florida|USA
Plantation General Hospital|Plantation|Florida|USA
Poinciana Medical Center|Poinciana|Florida|USA
Putnam Community Medical Center|Palatka|Florida|USA
Raulerson Hospital|Okeechobee|Florida|USA
Regional Medical Center Bayonet Point|Hudson|Florida|USA
Rehabilitation Hospital|Pensacola|Florida|USA
River Point Behavioral Health (formerly Ten Broeck Hospital)|Jacksonville|Florida|USA
Sacred Heart Hospital|Pensacola|Florida|USA
Santa Rosa Medical Center|Milton|Florida|USA
Sarasota Memorial Hospital|Sarasota|Florida|USA
Sebastian River Medical Center|Sebastian|Florida|USA
Seven Rivers Rivers Regional Medical Center|Crystal River|Florida|USA
Shands Lake Shore|Lake City|Florida|USA
Shands Live Oak|Live Oak|Florida|USA
Shands Starke|Starke|Florida|USA
South Bay Hospital|Sun City|Florida|USA
South Florida Baptist Hospital|Plant City|Florida|USA
South Lake Hospital|Clermont|Florida|USA
South Miami Hospital|Miami|Florida|USA
South Seminole Hospital|Longwood|Florida|USA
Speciality Hospital|Jacksonville|Florida|USA
Spring Hill Regional Hospital|Spring Hill|Florida|USA
St. Anthony's Hospital|St. Petersburg|Florida|USA
St. Cloud Hospital|St. Cloud|Florida|USA
St. Joseph's Children's Hospital|Tampa|Florida|USA
St. Joseph's Hospital|Tampa|Florida|USA
St. Joseph's Women's Hospital|Tampa|Florida|USA
St. Lucie Medical Center|Port Saint Lucie|Florida|USA
St. Mary's Medical Center|West Palm Beach|Florida|USA
St. Petersburg General Hospital|St. Petersburg|Florida|USA
St. Vincent's Medical Center Riverside|Jacksonville|Florida|USA
St. Vincent's Medical Center Southside|Jacksonville|Florida|USA
Sun Coast Hospital|Largo|Florida|USA
Tallahassee Memorial HealthCare|Tallahassee|Florida|USA
Tampa General Hospital|Tampa|Florida|USA
Tampa Shriners Hospital|Tampa|Florida|USA
Town & Country Hospital|Tampa|Florida|USA
Tri-County Hospital - Williston|Williston|Florida|USA
Trinity Community Hospital|Jasper|Florida|USA
Twin Cities Hospital|Niceville|Florida|USA
UF Health Jacksonville|Jacksonville|Florida|USA
UF Health Shands Children's Hospital|Gainesville|Florida|USA
UF Health Shands Hospital|Gainesville|Florida|USA
UF Health Shands Psychiatric Hospital|Gainesville|Florida|USA
UF Health Shands Rehab Hospital|Gainesville|Florida|USA
University Hospital and Medical Center|Tamarac|Florida|USA
University of Miami Hospital|Miami|Florida|USA
VA Medical Center|Gainesville|Florida|USA
Venice Regional Medical Center|Venice|Florida|USA
Viera Hospital[5]|Viera|Florida|USA
Wellington Regional Medical Center|Wellington|Florida|USA
Westchester General Hospital|Miami|Florida|USA
West Boca Medical Center|Boca Raton|Florida|USA
West Florida Hospital|Pensacola|Florida|USA
West Side Regional Medical Center|Plantation|Florida|USA
Winnie Palmer Hospital for Women & Babies|Orlando|Florida|USA
Winter Haven Hospital|Winter Haven|Florida|USA
Winter Park Memorial Hospital|Winter Park|Florida|USA
Wolfson Children's Hospital|Jacksonville|Florida|USA
Wuesthoff Health System|Rockledge|Florida|USA
Wuestoff Medical Center - Melbourne[6]|Melbourne|Florida|USA
Wuestoff Medical Center - Rockledge[7]|Rockledge|Florida|USA
Athens Regional Medical Center|Athens|Georgia (U.S. state)|USA
Atlanta Medical Center|Atlanta|Georgia (U.S. state)|USA
Barrow Regional Medical Center|Winder|Georgia (U.S. state)|USA
Berrien County Hospital|Nashville|Georgia (U.S. state)|USA
Bleckley Memorial Hospital|Cochran|Georgia (U.S. state)|USA
Brooks County Hospital|Quitman|Georgia (U.S. state)|USA
Candler County Hospital|Metter|Georgia (U.S. state)|USA
Candler Hospital - Savannah|Savannah|Georgia (U.S. state)|USA
Cartersville Medical Center|Cartersville|Georgia (U.S. state)|USA
Chatuge Regional Hospital|Hiawassee|Georgia (U.S. state)|USA
Chestatee Regional Hospital|Dahlonega|Georgia (U.S. state)|USA
Children's Healthcare of Atlanta at Egleston|Atlanta|Georgia (U.S. state)|USA
Children's Healthcare of Atlanta at Hughes Spalding|Atlanta|Georgia (U.S. state)|USA
Children's Healthcare of Atlanta at Scottish Rite|Atlanta|Georgia (U.S. state)|USA
Children's Hospital of Georgia|Augusta|Georgia (U.S. state)|USA
Clearview Regional Medical Center|Monroe|Georgia (U.S. state)|USA
Clinch Memorial Hospital|Homerville|Georgia (U.S. state)|USA
Cobb Memorial Hospital|Lavonia|Georgia (U.S. state)|USA
Coffee Regional Medical Center|Douglas|Georgia (U.S. state)|USA
Coliseum Medical Centers|Macon|Georgia (U.S. state)|USA
Coliseum Northside Hospital|Macon|Georgia (U.S. state)|USA
Colquitt Regional Medical Center|Moultrie|Georgia (U.S. state)|USA
Cook Medical Center|Adel|Georgia (U.S. state)|USA
Crisp Regional Hospital|Cordele|Georgia (U.S. state)|USA
DeKalb Medical|Decatur|Georgia (U.S. state)|USA
DeKalb Medical Hillandale|Lithonia|Georgia (U.S. state)|USA
Doctors Hospital of Augusta|Augusta|Georgia (U.S. state)|USA
Doctors Hospital of Columbus|Columbus|Georgia (U.S. state)|USA
Doctors Hospital of Tattnall|Reidsville|Georgia (U.S. state)|USA
Dodge County Hospital|Eastman|Georgia (U.S. state)|USA
Donalsonville Hospital|Donalsonville|Georgia (U.S. state)|USA
Phoebe Dorminy Medical Center|Fitzgerald|Georgia (U.S. state)|USA
East Georgia Regional Medical Center|Statesboro|Georgia (U.S. state)|USA
Effingham Hospital|Springfield|Georgia (U.S. state)|USA
Elbert Memorial Hospital|Elberton|Georgia (U.S. state)|USA
Emanuel Medical Center|Swainsboro|Georgia (U.S. state)|USA
Emory Adventist Hospital|Smyrna|Georgia (U.S. state)|USA
Eastside Medical Center|Snellville|Georgia (U.S. state)|USA
Emory Johns Creek Hospital|Johns Creek|Georgia (U.S. state)|USA
Emory University Hospital|Atlanta|Georgia (U.S. state)|USA
Emory University Hospital Midtown|Atlanta|Georgia (U.S. state)|USA
Emory University Orthopaedics and Spine Hospital|Tucker|Georgia (U.S. state)|USA
Cornerstone Medical Center|Fort Oglethorpe|Georgia (U.S. state)|USA
Evans Memorial Hospital|Claxton|Georgia (U.S. state)|USA
Fairview Park Hospital|Dublin|Georgia (U.S. state)|USA
Fannin Regional Hospital|Blue Ridge|Georgia (U.S. state)|USA
